,Country,Monthly_Sal_EUR,YearsCodePro
1066,Guatemala,1199.3,11
1284,Guatemala,1499.125,10
4078,Guatemala,1399.1833333333334,9
5460,Guatemala,799.5333333333333,10
7494,Guatemala,799.5333333333333,4
10662,Guatemala,4197.549999999999,9
13359,Guatemala,3777.795,10
14986,Guatemala,2698.425,15
16153,Guatemala,899.475,3
18353,Guatemala,76.455375,4
23377,Guatemala,999.4166666666666,2
30269,Guatemala,599.65,5
34332,Guatemala,299.825,8
42438,Guatemala,569.6675,2
47992,Guatemala,169.9008333333333,6
48224,Guatemala,1499.125,4
49103,Guatemala,124.92708333333333,5
49288,Guatemala,3497.958333333333,7
49612,Guatemala,949.4458333333333,20
50702,Guatemala,3997.6666666666665,18
52321,Guatemala,599.65,3
52337,Guatemala,1299.2416666666666,5
55441,Guatemala,649.6208333333333,2
55923,Guatemala,499.7083333333333,21
56278,Guatemala,2798.366666666667,7
63354,Guatemala,808.8279083333333,7
66411,Guatemala,1399.1833333333334,7
67404,Guatemala,1099.3583333333333,3
67706,Guatemala,299.825,4
70791,Guatemala,1798.95,13
74298,Guatemala,13991.833333333332,23
76600,Guatemala,5996.5,4
77122,Guatemala,299.825,8
79264,Guatemala,1199.3,2
81282,Guatemala,999.4166666666666,2
82931,Guatemala,1499.125,21
